NUMERO,NOME ESAGRAMMA (ITA),TESTO ITA,EXAGRAM NAME (ENG),TESTO ENG,https://www.labirintoermetico.com/09IChing/testo_i_ching/testo_i_ching.htm,http://www2.unipr.it/~deyoung/I_Ching_Wilhelm_Translation.html#1
1,Il Creativo,Suprema riuscita. Propizio oracolo.,The Creative,"Works sublime success, Furthering through perseverance.",,
2,Il Ricettivo,"Suprema riuscita. Propizio oracolo per una cavalla. Per un signore con un luogo in cui andare: se tenta di fare da guida si disorienta, se segue trova la guida: propizio. Trova amici ad ovest ed a sud, ma li perde ad est ed a nord. Oracolo per chi è in pace: fausto.",THE RECEPTIVE,"brings about sublime success,
Furthering through the perseverance of a mare.
If the superior man undertakes something and tries to lead,
He goes astray;
But if he follows, he finds guidance.
It is favorable to find friends in the west and south,
To forego friends in the east and north.
Quiet perseverance brings good fortune.",,
3,La Difficoltà iniziale,Suprema riuscita. Propizio oracolo. Non agire quando c'è un luogo in cui andare. Propizio designare vassalli.,DIFFICULTY AT THE BEGINNING,"works supreme success,
Furthering through perseverance.
Nothing should be undertaken.
It furthers one to appoint helpers.",,
4,La Stoltezza giovanile,"Riuscita. «Non sono stato io a rivolgermi al giovane stolto. È stato lui a rivolgersi a me». Quando la prima divinazione dà responso, ripetere più volte le divinazioni genera confusione e non dà responso. Propizio oracolo.",YOUTHFUL FOLLY,"has success.
It is not I who seek the young fool;
The young fool seeks me.
At the first oracle I inform him.
If he asks two or three times, it is importunity.
If he importunes, I give him no information.
Perseverance furthers.",,
5,L'Attesa,Essere sinceri. Suprema riuscita. Fausto oracolo. Propizio attraversare il grande fiume.,WAITING,"If you are sincere,
You have light and success.
Perseverance brings good fortune.
It furthers one to cross the great water.",,
6,La Lite,Essere sinceri. La verità è bloccata. A metà strada fausto. Alla fine disastroso. Propizio vedere un grande uomo. Non è propizio attraversare il grande fiume.,CONFLICT,"You are sincere
And are being obstructed.
A cautious halt halfway brings good fortune.
Going through to the end brings misfortune.
It furthers one to see the great man.
It does not further one to cross the great water.",,
7,L'Esercito,Oracolo fausto per un grande uomo. Nessuna sfortuna.,THE ARMY,"The army needs perseverance
And a strong man.
Good fortune without blame.",,
8,La Solidarietà,Fausto. Alla prima divinazione: suprema riuscita. Oracolo a lungo termine: nessuna sfortuna. Verrà gente da paesi tumultuosi; per chi è in ritardo: disastroso.,HOLDING TOGETHER,"brings good fortune.
Inquire of the oracle once again
Whether you possess sublimity, constancy, and perseverance;
Then there is no blame.
Those who are uncertain gradually join.
Whoever come too late
Meets with misfortune.",,
9,La Forza domatrice del piccolo,"Riuscita. Dense nuvole ma nessuna pioggia, dalle nostre contrade occidentali.",THE TAMING POWER OF THE SMALL,"Has success.
Dense clouds, no rain from our western region.",,
10,Il Procedere,Procedere sulla coda della tigre; essa non morde. Riuscita.,TREADING,"Treading upon the tail of the tiger.
It does not bite the man. Success.",,
11,La Pace,"Il piccolo se ne va, il grande viene.  Fausto. Riuscita.",PEACE,"The small departs,
The great approaches.
Good fortune. Success.",,
12,Il Ristagno,"A causa di persone malvagie. Oracolo non propizio per il signore. Il grande se ne va, il piccolo viene.",STANDSTILL,"Evil people do not further
The perseverance of the superior man.
The great departs; the small approaches.",,
13,L'Amicizia tra uomini,Gli amici si riuniscono nel campo. Riuscita. Propizio attraversare il grande fiume. Propizio oracolo per il signore.,FELLOWSHIP WITH MEN in the open,"Success.
It furthers one to cross the great water.
The perseverance of the superior man furthers.",,
14,Il Grande possesso,Suprema riuscita.,POSSESSION IN GREAT MEASURE,Supreme success.,,
15,La Modestia,Riuscita. Il signore riesce a portare a termine le cose.,MODESTY,Modesty creates success.,,
16,Il Fervore,Propizio designare vassalli. E far avanzare l'esercito.,ENTHUSIASM,"It furthers one to install helpers
And to set armies marching.",,
17,Il Seguire,Suprema riuscita. Propizio oracolo. Nessuna sfortuna.,FOLLOWING,has supreme success.Perseverance furthers. No blame.,,
